scenario_id,category,label,model_id,input_length,auto_adapt,success,error,mae,rmse,latency_ms,ablation
Y4,Y,Y4-复合漂移(部分可见),Timer-3.5,96,False,True,,15.745405349731445,18.178574165858752,169.19108300135122,True
Y4,Y,Y4-复合漂移(部分可见),Timer-3.0,96,False,True,,17.056096200180054,20.300973834046246,131.86454199967557,True
Y4,Y,Y4-复合漂移(部分可见),Chronos-2,96,False,True,,12.56584615650177,14.444681147030659,418.8654169993242,True
Y4,Y,Y4-复合漂移(部分可见),AutoARIMA,96,False,True,,15.104249514770508,18.431018840719517,228.56866700021783,True
Y4,Y,Y4-复合漂移(部分可见),Holt-Winters,96,False,True,,22.388912983322143,25.49767837792211,97.76379199684015,True
Y4,Y,Y4-复合漂移(部分可见),Auto,256,True,True,,21.383221484375,25.13990101457522,174.81083299935563,True
Y4,Y,Y4-复合漂移(部分可见),Auto,256,False,True,,21.383221484375,25.13990101457522,199.70054200166487,True
Y4,Y,Y4-复合漂移(部分可见),Timer-3.5,256,True,True,,21.383221484375,25.13990101457522,182.48099999982514,True
Y4,Y,Y4-复合漂移(部分可见),Timer-3.5,256,False,True,,21.383221484375,25.13990101457522,163.37870899951668,True
Y4,Y,Y4-复合漂移(部分可见),Timer-3.0,256,True,True,,18.093261007785795,22.042687374205023,145.01949999976205,True
Y4,Y,Y4-复合漂移(部分可见),Timer-3.0,256,False,True,,19.02457040977478,22.932208565899305,144.23554099994362,True
Y4,Y,Y4-复合漂移(部分可见),Chronos-2,256,True,True,,13.521663256359101,15.64984218867126,131.15879199904157,True
Y4,Y,Y4-复合漂移(部分可见),Chronos-2,256,False,True,,13.521663256359101,15.64984218867126,115.07320899909246,True
Y4,Y,Y4-复合漂移(部分可见),AutoARIMA,256,True,True,,7.595566066169739,9.411768217664054,1359.391375000996,True
Y4,Y,Y4-复合漂移(部分可见),AutoARIMA,256,False,True,,7.595566066169739,9.411768217664054,1299.1630830001668,True
Y4,Y,Y4-复合漂移(部分可见),Holt-Winters,256,True,True,,24.620906750774385,27.640823390677973,149.15666700107977,True
Y4,Y,Y4-复合漂移(部分可见),Holt-Winters,256,False,True,,24.620906750774385,27.640823390677973,159.91720899910433,True
Y4,Y,Y4-复合漂移(部分可见),Auto,512,True,True,,21.363555988883974,24.282237751403958,223.2134580008278,True
Y4,Y,Y4-复合漂移(部分可见),Auto,512,False,True,,21.363555988883974,24.282237751403958,198.63191599870333,True
Y4,Y,Y4-复合漂移(部分可见),Timer-3.5,512,True,True,,21.363555988883974,24.282237751403958,203.05366599859553,True
Y4,Y,Y4-复合漂移(部分可见),Timer-3.5,512,False,True,,21.363555988883974,24.282237751403958,254.51716700263205,True
Y4,Y,Y4-复合漂移(部分可见),Timer-3.0,512,True,True,,14.712373558998108,17.56275950813283,194.00445799692534,True
Y4,Y,Y4-复合漂移(部分可见),Timer-3.0,512,False,True,,17.223676566600798,20.168868217983526,160.3421250001702,True
Y4,Y,Y4-复合漂移(部分可见),Chronos-2,512,True,True,,11.954945797252655,13.881549944285348,140.51487500182702,True
Y4,Y,Y4-复合漂移(部分可见),Chronos-2,512,False,True,,11.954945797252655,13.881549944285348,127.426209000987,True
Y4,Y,Y4-复合漂移(部分可见),AutoARIMA,512,True,True,,10.604907903671265,12.520456098290678,2801.139041999704,True
Y4,Y,Y4-复合漂移(部分可见),AutoARIMA,512,False,True,,10.604907903671265,12.520456098290678,2786.8070830008946,True
Y4,Y,Y4-复合漂移(部分可见),Holt-Winters,512,True,True,,26.04633840045929,29.015786090020626,118.65008300082991,True
Y4,Y,Y4-复合漂移(部分可见),Holt-Winters,512,False,True,,26.04633840045929,29.015786090020626,127.04708299861522,True
